week_start_date,week_label,tickets_abertos,tempo_resolucao_medio_horas,csat_medio,pct_escalados,pct_critica_prioridade
2025-12-29,2026-W01,11,3.94,3.38,9.09,18.18
2026-01-05,2026-W02,13,29.45,3.36,15.38,15.38
2026-01-12,2026-W03,11,16.83,3.4,9.09,18.18
2026-01-19,2026-W04,12,28.12,3.29,33.33,0.0
2026-01-26,2026-W05,14,3.91,3.29,28.57,14.29
2026-02-02,2026-W06,19,2.67,4.0,21.05,5.26
2026-02-09,2026-W07,15,3.79,3.44,13.33,13.33
2026-02-16,2026-W08,24,4.8,3.59,12.5,16.67
2026-02-23,2026-W09,18,3.24,3.46,5.56,5.56
2026-03-02,2026-W10,22,18.51,3.71,13.64,9.09
2026-03-09,2026-W11,28,7.4,3.5,25.0,21.43
2026-03-16,2026-W12,28,4.73,2.71,3.57,17.86
2026-03-23,2026-W13,23,5.2,3.08,17.39,8.7
2026-03-30,2026-W14,6,9.25,3.0,0.0,0.0
