week_start_date,year_iso,week_iso,week_label,mes_calendario,plano,novos_signups,ativados_30d,taxa_ativacao_pct,pagantes_ativos_media_semana,cancelamentos_semana,churn_semanal_pct,nps,mau,dau_medio,ticket_medio_primeira_aplicacao_brl,aum_total_brl_milhoes,tickets_suporte_abertos
2025-09-29,2025,40,2025-W40,2025-10,Free,3135,1097,35.0,7505,314,4.18,50,9120,2280,260,16.1,80
2025-09-29,2025,40,2025-W40,2025-10,Pro,285,177,62.0,456,12,2.58,70,494,171,2400,44.6,18
2025-10-06,2025,41,2025-W41,2025-10,Free,3465,1213,35.0,8295,346,4.18,50,10080,2520,260,17.8,88
2025-10-06,2025,41,2025-W41,2025-10,Pro,315,195,62.0,504,13,2.58,70,546,189,2400,49.4,20
2025-10-13,2025,42,2025-W42,2025-10,Free,3300,1155,35.0,7900,330,4.18,50,9600,2400,260,17.0,84
2025-10-13,2025,42,2025-W42,2025-10,Pro,300,186,62.0,480,12,2.58,70,520,180,2400,47.0,19
2025-10-20,2025,43,2025-W43,2025-10,Free,3300,1155,35.0,7900,330,4.18,50,9600,2400,260,17.0,84
2025-10-20,2025,43,2025-W43,2025-10,Pro,300,186,62.0,480,12,2.58,70,520,180,2400,47.0,19
2025-10-27,2025,44,2025-W44,2025-10,Free,3300,1155,35.0,7900,330,4.18,50,9600,2400,260,17.0,84
2025-10-27,2025,44,2025-W44,2025-10,Pro,300,186,62.0,480,12,2.58,70,520,180,2400,47.0,19
2025-11-03,2025,45,2025-W45,2025-11,Free,4416,1590,36.0,9792,412,4.21,51,11880,3000,255,22.1,107
2025-11-03,2025,45,2025-W45,2025-11,Pro,384,246,64.0,672,19,2.79,72,720,252,2450,61.9,24
2025-11-10,2025,46,2025-W46,2025-11,Free,4784,1722,36.0,10608,447,4.21,51,12870,3250,255,23.9,116
2025-11-10,2025,46,2025-W46,2025-11,Pro,416,266,64.0,728,20,2.79,72,780,273,2450,67.1,25
2025-11-17,2025,47,2025-W47,2025-11,Free,4600,1656,36.0,10200,430,4.21,51,12375,3125,255,23.0,111
2025-11-17,2025,47,2025-W47,2025-11,Pro,400,256,64.0,700,20,2.79,72,750,262,2450,64.5,24
2025-11-24,2025,48,2025-W48,2025-11,Free,4600,1656,36.0,10200,430,4.21,51,12375,3125,255,23.0,111
2025-11-24,2025,48,2025-W48,2025-11,Pro,400,256,64.0,700,20,2.79,72,750,262,2450,64.5,24
